word	score
친애하다	4.04
침울하다	2.85
침통하다	4.41
켕기다	4.49
코웃음	3.92
쾌감	5.91
태평스럽다	2.45
토라지다	4.36
통분	5.51
통쾌하다	5.71
통탄하다	5.36
통한	4.94
패배감	4.2
편안하다	2.33
편하다	2.7
평안하다	2.06
평온하다	2.46
평화롭다	2.24
풀죽다	2.69
한	4.67
한맺히다	5.09
한스럽다	4.13
한탄하다	5.06
행복하다	4.7
향수	2.56
허망하다	2.87
허무하다	2.92
허전하다	2.53
죄송스럽다	3.89
죄스럽다	3.94
죄의식	4.12
죄책감	4.07
주눅들다	2.79
즐겁다	5.54
즐기다	5.14
증오하다	5.85
지겹다	3.2
지긋지긋하다	4.05
지루하다	2.14
지리하다	3.07
진노하다	5.36
진저리나다	4.67
질겁하다	5.41
질리다	3.94
질색하다	5.07
질투하다	5.25
짜증내다	4.88
짝사랑하다	4.41
찡하다	4.67
착잡하다	2.83
참담하다	3.26
창피하다	4.2
처량하다	2.81
처연하다	3.06
처절하다	4.35
처참하다	4.5
체념하다	3.15
초조하다	4.88
충족감	4.15
허탈하다	3.2
허허롭다	3.06
혐오하다	5.57
호감	5.03
혼비백산하다	5.98
홀가분하다	3.26
화나다	5.91
환멸	5.62
환희	5.54
황공하다	4.57
황당하다	4.92
황송하다	4.18
황홀하다	5.14
회개	3.58
회오	4.1
회한	4.41
후련하다	3.61
후회하다	4.06
흐뭇하다	3.85
흠모하다	4.34
흡족하다	4.14
흥겹다	5.5
흥나다	6
흥미롭다	4.76
흥미진진하다	5.21
흥분	6.02
흥취	5.08
희	4.61
희비	4.61
희열	5.44
희희낙락하다	4.8
